CaveGest 4.2 - Export des grilles tarifaires au 12/01/2026 - ATTENTION : la grille EXPO est saisie en TTC;;;;;;;;;;

Ref;Désignation;Contenant;Couleur;TVA;DEPC;CHR;EXPO;PART;SALON;Stock
--- AOP ROUGES ---;;;;;;;;;;
LANM3;La Pierre Blanche;BIB - 300.0;Rouge;20;13,32;11,72;15,98;15,72;;112
COT196;Coteaux Nord 2019;Bouteille - 75.0;Rouge;20;  19,31 EUR;16,99;23,17;22,79;;28
SEL208;Sélection du Domaine 2020;BIB - 300.0;BLANC;20;30,90;27,19;37,08;36,46;;619
COT226;Coteaux Nord 2022;Bouteille - 75.0;Blanc;20;  17,69 EUR;15,57;21,23;20,87;;104
CUV234;Cuvée Marie 2023;½ Bouteille - 37.5;blanc;20;11,77;10,36;14,12;13,89;12,95;396
TRA195;Tradition 2019;Carton 6;;20;23,41;20,60;28,09;27,62;;607
VIE205;Vieilles Vignes 2020;Bouteille - 75.0;Blanc;20;27,24;23,97;32,69;32,14;29,96;531
CUV227;Cuvée Prestige 2022;Bouteille - 75.0;;20;24,91;21,92;29,89;29,39;;136
TRA232;Tradition 2023;Litre - 100.0;blanc;20%;25,89;22,78;31,07;30,55;;187
LENM2;Le Petit Clos;;blanc;20;16,63;14,63;19,96;19,62;;253
CUVNM2;Cuvée Marie;;Rosé;20;5,50;4,84;6,60;6,49;;307
LES205;Les Argiles 2020;Bouteille - 75.0;Blanc;20;26,16;23,02;31,39;30,87;;49
HAUNM1;Haut Montcalm N.M.;Bouteille - 75.0;Rosé;20;33,01;29,05;39,61;;;7
VIENM6;Vieilles Vignes;Bouteille - 75.0;Blanc;20;19,98;17,58;23,98;23,58;;409
SOUS-TOTAL AOP ROUGES;;;;;;;;;;14
--- AOP BLANCS ---;;;;;;;;;;
LES197;Les Galets 2019;Litre - 100.0;Blanc;20;31,56;27,77;37,87;37,24;34,72;874
GRA233;Grande Réserve 2023;Magnum - 150.0;Rosé;20;  16,97 EUR;14,93;20,36;20,02;18,67;878
LE236;Le Clos Fleuri 2023;BIB - 300.0;Blanc;20;14,74;12,97;17,69;17,39;;208
COT213;Coteaux Nord 2021;Magnum - 150.0;;20;31,02;27,30;37,22;36,60;34,12;819
VIE202;Vieilles Vignes 2020;Magnum - 150.0;rouge;20;31,94;28,11;38,33;37,69;;819
VIE226;Vieilles Vignes 2022;;blanc;20;31,42;27,65;37,70;37,08;;257
HAU214;Haut Montcalm 2021;Litre - 100.0;Blanc;20;31,85;28,03;38,22;37,58;35,04;168
FUTNM1;Fût de Chêne N.M.;Magnum - 150.0;rouge;20;7,13;6,27;8,56;8,41;7,84;94
CUV194;Cuvée Prestige 2019;Bouteille - 75.0;Blanc;20;  25,69 EUR;22,61;30,83;30,31;;122
SELNM6;Sélection du Domaine;Magnum - 150.0;Rouge;20;7,20;6,34;8,64;8,50;7,92;385
CLONM6;Clos du Pech N.M.;Bouteille - 75.0;Blanc;20;23,91;21,04;28,69;28,21;26,30;0
LES194;Les Argiles 2019;BIB - 300.0;BLANC;20;31,08;27,35;37,30;36,67;34,19;898
TER232;Terrasses du Sud 2023;Litre - 100.0;rouge;20;24,97;21,97;29,96;29,46;27,47;845
COT239;Coteaux Nord 2023;Magnum - 150.0;Blanc;20;17,46;15,36;20,95;20,60;;359
LESNM3;Les Grands Ormes;Litre - 100.0;;20;20,01;17,61;24,01;23,61;;639
TRANM8;Tradition N.M.;½ Bouteille - 37.5;Rouge;20;15,19;13,37;18,23;17,92;;321
SOUS-TOTAL AOP BLANCS;;;;;;;;;;16
--- IGP ---;;;;;;;;;;

TERNM4;Terre Rouge;Magnum - 150.0;Rosé;20;10,57;9,30;12,68;12,47;;347
FUTNM2;Fût de Chêne N.M.;Magnum - 150.0;rouge;20;  30,66 EUR;26,98;36,79;36,18;33,73;390
LA223;La Pierre Blanche 2022;BIB - 300.0;;20;15,57;13,70;18,68;18,37;17,13;852
CLO237;Clos du Pech 2023;BIB - 500.0;BLANC;20;30,48;26,82;36,58;35,97;33,53;468
CUVNM3;Cuvée Prestige N.M.;Magnum - 150.0;;20;31,18;27,44;37,42;36,79;34,30;816
CLO233 ;Clos du Pech 2023;½ Bouteille - 37.5;rouge;20;22,87;20,13;27,44;26,99;25,16;114
BEL209;Belles Rives 2020;Litre - 100.0;blanc;20;12,17;10,71;14,60;14,36;13,39;8
SEL219;Sélection du Domaine 2021;Bouteille - 75.0;blanc;20;24,57;21,62;29,48;28,99;;316
LES239;Les Galets 2023;Litre - 100.0;rouge;20;17,55;15,44;21,06;20,71;19,31;331
LES206;Les Galets 2020;Magnum - 150.0;Rosé;20;22,32;19,64;26,78;26,34;24,55;205
LENM5;Le Clos Fleuri N.M.;½ Bouteille - 37.5;Blanc;20;20,20;17,78;24,24;23,84;22,22;347
LES211;Les Argiles 2021;½ Bouteille - 37.5;blanc;20;28,37;24,97;34,04;33,48;31,21;482
CUVNM9;Cuvée Emeline N.M.;Litre - 100.0;;20;33,13;29,15;39,76;39,09;;891
SEL236;Sélection du Domaine 2023;Bouteille - 75.0;blanc;20;19,03;16,75;22,84;22,46;;289
LE201;Le Clos Fleuri 2020;Magnum - 150.0;Rouge;20;  19,18 EUR;16,88;23,02;;21,10;631
LA203;La Pierre Blanche 2020;Bouteille - 75.0;Rouge;20;13,81;12,15;16,57;16,30;15,19;71
CUV218;Cuvée Prestige 2021;;BLANC;20;21,56;18,97;25,87;25,44;;540
LES199;Les Argiles 2019;½ Bouteille - 37.5;Rouge;20;29,10;25,61;34,92;34,34;;333
SOUS-TOTAL IGP;;;;;;;;;;18
--- VIN DE FRANCE ---;;;;;;;;;;
GRA226;Grande Réserve 2022;BIB - 500.0;;20;5,24;4,61;6,29;6,18;;491
COT237;Coteaux Nord 2023;;BLANC;20;18,11;15,94;21,73;21,37;;815
FUTNM7;Fût de Chêne N.M.;6 x 75;blanc;20;11,02;9,70;13,22;13;12,12;411
CLO238;Clos du Pech 2023;Litre - 100.0;Blanc;20;19,33;17,01;23,20;22,81;;853
COT207;Coteaux Nord 2020;;blanc;20;26,17;23,03;31,40;30,88;;750
LA211;La Pierre Blanche 2021;;Rosé;20;21,31;18,75;25,57;25,15;;468
LE206;Le Petit Clos 2020;;Blanc;20;27,99;24,63;33,59;33,03;;237
CUV216;Cuvée Marie 2021;BIB - 300.0;BLANC;20;7,48;6,58;8,98;8,83;;421
LES221;Les Galets 2022;Magnum - 150.0;BLANC;20;18,68;16,44;22,42;22,04;;650
LESNM9;Les Grands Ormes N.M.;½ Bouteille - 37.5;Rosé;20;  27,52 EUR;24,22;33,02;32,47;;228
LES193;Les Galets 2019;Magnum - 150.0;Rouge;20;31,41;27,64;37,69;37,06;34,55;532
SEL213;Sélection du Domaine 2021;Magnum - 150.0;rouge;20;14,58;12,83;17,50;17,20;16,04;703
HAU214;Tradition 2019;Litre - 100.0;Rouge;20;34,35;6,49;8,84;8,70;8,11;868
CLO198;Clos du Pech 2019;Bouteille - 75.0;Rosé;20;22,01;19,37;26,41;25,97;;882
SELNM3;Sélection du Domaine;Bouteille - 75.0;rouge;20;30,73;27,04;36,88;36,26;;477
LANM1;La Pierre Blanche N.M.;Litre - 100.0;Rouge;20;19,16;16,86;22,99;22,61;21,08;52
