Gravité;Fichier;Ligne;Enregistrement;Champ;Anomalie;Valeur lue;Valeur retenue;Valeur remplacée
Non repris;export_tarifs_cavegest.csv;12;Produit CUV227;reference;Référence présente sur plusieurs lignes différentes;CUV227;12, 90;
Non repris;export_tarifs_cavegest.csv;18;Produit VIENM6;reference;Référence présente sur plusieurs lignes différentes;VIENM6;18, 107;
Non repris;export_tarifs_cavegest.csv;27;Produit HAU214;reference;Référence présente sur plusieurs lignes différentes;HAU214;27, 72;
Non repris;export_tarifs_cavegest.csv;32;Produit LES194;reference;Référence présente sur plusieurs lignes différentes;LES194;32, 111;
Non repris;export_tarifs_cavegest.csv;33;Produit TER232;reference;Référence présente sur plusieurs lignes différentes;TER232;33, 122;
Non repris;export_tarifs_cavegest.csv;72;Produit HAU214;reference;Référence présente sur plusieurs lignes différentes;HAU214;27, 72;
Non repris;export_tarifs_cavegest.csv;86;Produit CUV228;reference;Référence présente sur plusieurs lignes différentes;CUV228;86, 101;
Non repris;export_tarifs_cavegest.csv;90;Produit CUV227;reference;Référence présente sur plusieurs lignes différentes;CUV227;12, 90;
Non repris;export_tarifs_cavegest.csv;101;Produit CUV228;reference;Référence présente sur plusieurs lignes différentes;CUV228;86, 101;
Non repris;export_tarifs_cavegest.csv;107;Produit VIENM6;reference;Référence présente sur plusieurs lignes différentes;VIENM6;18, 107;
Non repris;export_tarifs_cavegest.csv;111;Produit LES194;reference;Référence présente sur plusieurs lignes différentes;LES194;32, 111;
Non repris;export_tarifs_cavegest.csv;122;Produit TER232;reference;Référence présente sur plusieurs lignes différentes;TER232;33, 122;
Repris avec correction automatique;export_tarifs_cavegest.csv;5;Produit LANM3;price_expo;Prix saisi TTC, converti en HT;15,98;13.32;
Repris avec correction automatique;export_tarifs_cavegest.csv;6;Produit COT196;price_expo;Prix saisi TTC, converti en HT;23,17;19.31;
Repris avec correction automatique;export_tarifs_cavegest.csv;7;Produit SEL208;price_expo;Prix saisi TTC, converti en HT;37,08;30.9;
Repris avec correction automatique;export_tarifs_cavegest.csv;8;Produit COT226;price_expo;Prix saisi TTC, converti en HT;21,23;17.69;
Repris avec correction automatique;export_tarifs_cavegest.csv;9;Produit CUV234;price_expo;Prix saisi TTC, converti en HT;14,12;11.77;
Repris avec correction automatique;export_tarifs_cavegest.csv;10;Produit TRA195;price_expo;Prix saisi TTC, converti en HT;28,09;23.41;
Repris avec correction automatique;export_tarifs_cavegest.csv;11;Produit VIE205;price_expo;Prix saisi TTC, converti en HT;32,69;27.24;
Repris avec correction automatique;export_tarifs_cavegest.csv;13;Produit TRA232;price_expo;Prix saisi TTC, converti en HT;31,07;25.89;
Repris avec correction automatique;export_tarifs_cavegest.csv;14;Produit LENM2;price_expo;Prix saisi TTC, converti en HT;19,96;16.63;
Repris avec correction automatique;export_tarifs_cavegest.csv;15;Produit CUVNM2;price_expo;Prix saisi TTC, converti en HT;6,60;5.5;
Repris avec correction automatique;export_tarifs_cavegest.csv;16;Produit LES205;price_expo;Prix saisi TTC, converti en HT;31,39;26.16;
Repris avec correction automatique;export_tarifs_cavegest.csv;17;Produit HAUNM1;price_expo;Prix saisi TTC, converti en HT;39,61;33.01;
Repris avec correction automatique;export_tarifs_cavegest.csv;21;Produit LES197;price_expo;Prix saisi TTC, converti en HT;37,87;31.56;
